þSaverXware PSD Summary Export File
Generated From: 
Active Channel Code: 7
Freq (Hz), CH1 Upper Envelope (G^2/Hz), CH1 Single Event with Max Rms (G^2/Hz), CH1 SummaryEvents Average (G^2/Hz), CH1 Single Event with Min Rms (G^2/Hz), CH1 Lower Envelope (G^2/Hz), CH2 Upper Envelope (G^2/Hz), CH2 Single Event with Max Rms (G^2/Hz), CH2 SummaryEvents Average (G^2/Hz), CH2 Single Event with Min Rms (G^2/Hz), CH2 Lower Envelope (G^2/Hz), CH3 Upper Envelope (G^2/Hz), CH3 Single Event with Max Rms (G^2/Hz), CH3 SummaryEvents Average (G^2/Hz), CH3 Single Event with Min Rms (G^2/Hz), CH3 Lower Envelope (G^2/Hz)
4.882812E-001, 6.209658E-003, 6.209658E-003, 8.219040E-005, 7.561940E-009, 7.561940E-009, 5.736349E-003, 5.736349E-003, 1.119666E-004, 8.302530E-009, 8.302530E-009, 7.697862E-003, 7.697862E-003, 2.674902E-004, 2.582911E-008, 2.582911E-008
9.765624E-001, 3.209339E-003, 3.209339E-003, 6.397004E-005, 4.176944E-010, 4.176944E-010, 2.799499E-003, 2.799499E-003, 1.031886E-004, 4.404905E-009, 4.404905E-009, 1.812424E-002, 1.812424E-002, 4.302477E-004, 1.361272E-007, 1.361272E-007
1.464844E+000, 7.374640E-004, 7.374640E-004, 4.367808E-005, 4.483515E-009, 4.483515E-009, 2.740016E-003, 2.740016E-003, 7.416445E-005, 5.591590E-009, 5.591590E-009, 1.608206E-002, 1.608206E-002, 6.793672E-004, 4.261214E-008, 4.261214E-008
1.953125E+000, 8.506059E-004, 8.506059E-004, 3.452578E-005, 2.368129E-009, 2.368129E-009, 2.364408E-003, 2.364408E-003, 5.883552E-005, 7.695404E-009, 7.695404E-009, 3.453381E-002, 3.453381E-002, 1.275340E-003, 6.416912E-009, 6.416912E-009
2.441406E+000, 4.209151E-004, 4.209151E-004, 3.424277E-005, 9.855316E-009, 9.855316E-009, 5.372157E-003, 5.372157E-003, 6.568826E-005, 1.216811E-009, 1.216811E-009, 1.419858E-001, 1.419858E-001, 2.503712E-003, 1.371949E-008, 1.371949E-008
2.929687E+000, 8.431497E-004, 8.431497E-004, 3.860251E-005, 3.101938E-010, 3.101938E-010, 1.087322E-002, 1.087322E-002, 8.704397E-005, 1.309596E-009, 1.309596E-009, 1.439986E-001, 1.439986E-001, 4.834168E-003, 2.527757E-008, 2.527757E-008
3.417969E+000, 5.734650E-004, 5.734650E-004, 3.733957E-005, 3.948685E-009, 3.948685E-009, 8.997487E-003, 8.997487E-003, 1.115977E-004, 1.115876E-008, 1.115876E-008, 3.532197E-001, 3.532197E-001, 7.901272E-003, 1.698665E-008, 1.698665E-008
3.906250E+000, 9.392783E-004, 9.392783E-004, 4.062204E-005, 3.432161E-009, 3.432161E-009, 8.230193E-003, 8.230193E-003, 1.459027E-004, 1.220604E-008, 1.220604E-008, 4.733916E-001, 4.733916E-001, 1.428649E-002, 2.104300E-008, 2.104300E-008
4.394531E+000, 1.074406E-003, 1.074406E-003, 3.864368E-005, 3.314360E-010, 3.314360E-010, 5.546526E-003, 5.546526E-003, 1.511626E-004, 7.253134E-009, 7.253134E-009, 4.382240E-001, 4.382240E-001, 1.619630E-002, 7.027689E-009, 7.027689E-009
4.882812E+000, 3.434513E-004, 3.434513E-004, 2.547838E-005, 3.726688E-010, 3.726688E-010, 4.551786E-003, 4.551786E-003, 8.621842E-005, 7.798905E-009, 7.798905E-009, 1.527247E-001, 1.527247E-001, 6.688276E-003, 6.101639E-008, 6.101639E-008
5.371093E+000, 3.885606E-004, 3.885606E-004, 1.986133E-005, 3.186345E-009, 3.186345E-009, 1.729484E-003, 1.729484E-003, 5.442446E-005, 5.116223E-009, 5.116223E-009, 5.173253E-002, 5.173253E-002, 1.637850E-003, 6.760386E-008, 6.760386E-008
5.859375E+000, 3.006716E-004, 3.006716E-004, 1.938660E-005, 5.754438E-009, 5.754438E-009, 2.188875E-003, 2.188875E-003, 6.572036E-005, 2.510326E-010, 2.510326E-010, 3.236434E-002, 3.236434E-002, 8.020991E-004, 7.426244E-008, 7.426244E-008
6.347656E+000, 4.493302E-004, 4.493302E-004, 2.586296E-005, 1.124800E-009, 1.124800E-009, 3.688902E-003, 3.688902E-003, 1.078846E-004, 1.883017E-009, 1.883017E-009, 2.474942E-002, 2.474942E-002, 7.695556E-004, 9.642902E-009, 9.642902E-009
