þSaverXware PSD Summary Export File
Generated From: 
Active Channel Code: 7
Freq (Hz), CH1 Upper Envelope (G^2/Hz), CH1 Single Event with Max Rms (G^2/Hz), CH1 SummaryEvents Average (G^2/Hz), CH1 Single Event with Min Rms (G^2/Hz), CH1 Lower Envelope (G^2/Hz), CH2 Upper Envelope (G^2/Hz), CH2 Single Event with Max Rms (G^2/Hz), CH2 SummaryEvents Average (G^2/Hz), CH2 Single Event with Min Rms (G^2/Hz), CH2 Lower Envelope (G^2/Hz), CH3 Upper Envelope (G^2/Hz), CH3 Single Event with Max Rms (G^2/Hz), CH3 SummaryEvents Average (G^2/Hz), CH3 Single Event with Min Rms (G^2/Hz), CH3 Lower Envelope (G^2/Hz)
4.882812E-001, 6.854705E-003, 6.854705E-003, 1.230101E-004, 5.549977E-008, 5.549977E-008, 1.959051E-003, 1.959051E-003, 1.090969E-004, 8.126523E-008, 8.126523E-008, 4.066448E-003, 4.066448E-003, 1.455041E-004, 1.380023E-008, 1.380023E-008
9.765624E-001, 2.462461E-003, 2.462461E-003, 6.348459E-005, 2.399847E-008, 2.399847E-008, 1.565089E-003, 1.565089E-003, 1.056428E-004, 3.614086E-008, 3.614086E-008, 4.746201E-003, 4.746201E-003, 1.855619E-004, 8.412064E-008, 8.412064E-008
1.464844E+000, 8.610076E-004, 8.610076E-004, 3.554852E-005, 1.709732E-007, 1.709732E-007, 9.836691E-004, 9.836691E-004, 8.460652E-005, 5.564991E-010, 5.564991E-010, 8.787578E-003, 8.787578E-003, 2.238150E-004, 1.048732E-007, 1.048732E-007
1.953125E+000, 1.140633E-003, 1.140633E-003, 3.152984E-005, 3.112095E-009, 3.112095E-009, 1.082303E-003, 1.082303E-003, 6.385557E-005, 6.295295E-009, 6.295295E-009, 5.948492E-003, 5.948492E-003, 3.099647E-004, 1.168214E-007, 1.168214E-007
2.441406E+000, 3.985411E-004, 3.985411E-004, 3.415090E-005, 1.082172E-008, 1.082172E-008, 1.420134E-003, 1.420134E-003, 4.898032E-005, 7.215275E-008, 7.215275E-008, 7.032152E-003, 7.032152E-003, 5.056767E-004, 1.559606E-008, 1.559606E-008
2.929687E+000, 4.319742E-004, 4.319742E-004, 3.156386E-005, 4.148783E-008, 4.148783E-008, 1.120530E-003, 1.120530E-003, 4.093013E-005, 8.831789E-010, 8.831789E-010, 1.450478E-002, 1.450478E-002, 6.289770E-004, 2.181724E-007, 2.181724E-007
3.417969E+000, 2.044485E-004, 2.044485E-004, 2.505709E-005, 1.777018E-008, 1.777018E-008, 1.883800E-003, 1.883800E-003, 3.620352E-005, 1.828653E-008, 1.828653E-008, 7.284432E-002, 7.284432E-002, 9.432841E-004, 3.124330E-007, 3.124330E-007
3.906250E+000, 2.728716E-004, 2.728716E-004, 2.565561E-005, 2.108485E-008, 2.108485E-008, 6.677911E-003, 6.677911E-003, 4.175946E-005, 1.744395E-008, 1.744395E-008, 1.954201E-001, 1.954201E-001, 3.524306E-003, 2.215054E-006, 2.215054E-006
4.394531E+000, 4.406034E-004, 4.406034E-004, 3.825117E-005, 1.570730E-008, 1.570730E-008, 6.131337E-003, 6.131337E-003, 4.944864E-005, 4.753455E-009, 4.753455E-009, 4.673798E-001, 4.673798E-001, 1.384956E-002, 6.378542E-006, 6.378542E-006
4.882812E+000, 5.012713E-004, 5.012713E-004, 4.327105E-005, 1.249559E-008, 1.249559E-008, 1.920211E-003, 1.920211E-003, 4.563072E-005, 1.733974E-008, 1.733974E-008, 3.099097E-001, 3.099097E-001, 1.752062E-002, 7.018401E-006, 7.018401E-006
