þSaverXware PSD Summary Export File
Generated From: 
Active Channel Code: 7
Freq (Hz), CH1 Upper Envelope (G^2/Hz), CH1 Single Event with Max Rms (G^2/Hz), CH1 SummaryEvents Average (G^2/Hz), CH1 Single Event with Min Rms (G^2/Hz), CH1 Lower Envelope (G^2/Hz), CH2 Upper Envelope (G^2/Hz), CH2 Single Event with Max Rms (G^2/Hz), CH2 SummaryEvents Average (G^2/Hz), CH2 Single Event with Min Rms (G^2/Hz), CH2 Lower Envelope (G^2/Hz), CH3 Upper Envelope (G^2/Hz), CH3 Single Event with Max Rms (G^2/Hz), CH3 SummaryEvents Average (G^2/Hz), CH3 Single Event with Min Rms (G^2/Hz), CH3 Lower Envelope (G^2/Hz)
4.882812E-001, 2.510942E-002, 2.510942E-002, 9.652520E-005, 7.443963E-010, 7.443963E-010, 6.571135E-003, 6.571135E-003, 1.596305E-004, 1.671159E-008, 1.671159E-008, 1.701971E-001, 1.701971E-001, 2.620601E-004, 1.065654E-007, 1.065654E-007
9.765624E-001, 2.378827E-002, 2.378827E-002, 7.269705E-005, 9.082151E-009, 9.082151E-009, 3.240176E-003, 3.240176E-003, 1.183072E-004, 6.341228E-009, 6.341228E-009, 3.829648E-002, 3.829648E-002, 4.297787E-004, 1.187716E-007, 1.187716E-007
1.464844E+000, 1.404795E-002, 1.404795E-002, 5.763945E-005, 1.193558E-008, 1.193558E-008, 8.555288E-003, 8.555288E-003, 6.445681E-005, 9.895897E-011, 9.895897E-011, 3.554927E-002, 3.554927E-002, 7.777972E-004, 7.786245E-008, 7.786245E-008
1.953125E+000, 1.037152E-002, 1.037152E-002, 1.106942E-004, 8.274834E-009, 8.274834E-009, 1.043535E-002, 1.043535E-002, 6.070926E-005, 8.123243E-009, 8.123243E-009, 1.841954E-001, 1.841954E-001, 2.452261E-003, 6.373111E-008, 6.373111E-008
2.441406E+000, 1.451638E-002, 1.451638E-002, 2.548773E-004, 1.641788E-008, 1.641788E-008, 7.946696E-003, 7.946696E-003, 5.473652E-005, 3.823056E-010, 3.823056E-010, 3.727441E-001, 3.727441E-001, 6.808728E-003, 3.076685E-007, 3.076685E-007
2.929687E+000, 6.239749E-003, 6.239749E-003, 3.223539E-004, 5.732996E-009, 5.732996E-009, 1.434825E-002, 1.434825E-002, 6.048595E-005, 2.115490E-008, 2.115490E-008, 1.607969E-001, 1.607969E-001, 9.211308E-003, 9.789777E-007, 9.789777E-007
3.417969E+000, 9.050521E-003, 9.050521E-003, 1.995867E-004, 1.610567E-007, 1.610567E-007, 1.673219E-002, 1.673219E-002, 5.522364E-005, 2.160117E-009, 2.160117E-009, 9.746895E-002, 9.746895E-002, 5.660998E-003, 1.081402E-006, 1.081402E-006
3.906250E+000, 1.004120E-002, 1.004120E-002, 8.959408E-005, 1.049988E-008, 1.049988E-008, 1.300597E-002, 1.300597E-002, 4.846147E-005, 1.925367E-008, 1.925367E-008, 9.212786E-002, 9.212786E-002, 2.283634E-003, 6.560957E-009, 6.560957E-009
4.394531E+000, 9.553589E-003, 9.553589E-003, 5.390070E-005, 9.536173E-009, 9.536173E-009, 6.785829E-003, 6.785829E-003, 4.976939E-005, 4.303164E-009, 4.303164E-009, 5.892554E-002, 5.892554E-002, 1.219532E-003, 1.236545E-007, 1.236545E-007
4.882812E+000, 1.100921E-002, 1.100921E-002, 3.889812E-005, 3.373047E-009, 3.373047E-009, 2.175268E-003, 2.175268E-003, 5.250618E-005, 1.192168E-008, 1.192168E-008, 2.903484E-002, 2.903484E-002, 9.767445E-004, 7.036691E-009, 7.036691E-009
