ÒSaverXware Event SRS Export File
Generated From: C:\PROGRAM FILES (X86)\LANSMONT\SAVERXWARE\DataStore\EventDatabase.SXe
Event: Signal  146
Active Channel Code: 7
Freq (Hz), CH1 SRS (G's), CH2 SRS (G's), CH3 SRS (G's)
4.812808E-001, 8.215001E-002, 1.073592E-001, 6.107968E-002
4.882812E-001, 8.177911E-002, 1.073087E-001, 6.251595E-002
4.953834E-001, 8.129732E-002, 1.071657E-001, 6.397174E-002
5.025890E-001, 8.070343E-002, 1.069275E-001, 6.544499E-002
5.098993E-001, 7.999935E-002, 1.065917E-001, 6.693343E-002
5.173159E-001, 7.947097E-002, 1.062316E-001, 6.843447E-002
5.248405E-001, 7.968897E-002, 1.059499E-001, 6.994525E-002
5.324745E-001, 7.982012E-002, 1.057580E-001, 7.146259E-002
5.402195E-001, 7.985536E-002, 1.057806E-001, 7.298299E-002
5.480772E-001, 7.979127E-002, 1.057144E-001, 7.450259E-002
5.560491E-001, 7.964213E-002, 1.055567E-001, 7.601719E-002
5.641370E-001, 7.940506E-002, 1.057550E-001, 7.752220E-002
5.723426E-001, 7.931108E-002, 1.059239E-001, 7.901264E-002
5.806675E-001, 7.912806E-002, 1.060137E-001, 8.048315E-002
5.891135E-001, 7.884984E-002, 1.060300E-001, 8.192793E-002
5.976824E-001, 7.847321E-002, 1.060125E-001, 8.334077E-002
6.063759E-001, 7.799192E-002, 1.059120E-001, 8.471501E-002
6.151958E-001, 7.754604E-002, 1.057207E-001, 8.604355E-002
6.241440E-001, 7.703873E-002, 1.054363E-001, 8.731887E-002
6.332224E-001, 7.643287E-002, 1.050589E-001, 8.853296E-002
6.424329E-001, 7.575504E-002, 1.050230E-001, 8.967741E-002
6.517773E-001, 7.525611E-002, 1.051895E-001, 9.215148E-002
6.612576E-001, 7.532765E-002, 1.052757E-001, 9.478621E-002
6.708758E-001, 7.536482E-002, 1.054010E-001, 9.746089E-002
6.806339E-001, 7.532205E-002, 1.055263E-001, 1.001718E-001
6.905339E-001, 7.518537E-002, 1.055711E-001, 1.029146E-001
7.005780E-001, 7.495359E-002, 1.055329E-001, 1.056849E-001
7.107681E-001, 7.462598E-002, 1.055356E-001, 1.084772E-001
7.211065E-001, 7.420231E-002, 1.055523E-001, 1.112860E-001
7.315952E-001, 7.380787E-002, 1.054868E-001, 1.141049E-001
7.422365E-001, 7.334646E-002, 1.055135E-001, 1.169289E-001
7.530326E-001, 7.279066E-002, 1.057943E-001, 1.197516E-001
7.639857E-001, 7.232417E-002, 1.060039E-001, 1.225629E-001
7.750981E-001, 7.179103E-002, 1.061411E-001, 1.253542E-001
7.863722E-001, 7.116570E-002, 1.062482E-001, 1.281162E-001
7.978103E-001, 7.048441E-002, 1.062870E-001, 1.308391E-001
8.094147E-001, 6.975354E-002, 1.063945E-001, 1.335123E-001
8.211879E-001, 6.909399E-002, 1.064352E-001, 1.361247E-001
8.331323E-001, 6.840475E-002, 1.064066E-001, 1.386644E-001
8.452505E-001, 6.762715E-002, 1.063542E-001, 1.411190E-001
8.575450E-001, 6.676401E-002, 1.064280E-001, 1.434756E-001
8.700182E-001, 6.581883E-002, 1.064310E-001, 1.457205E-001
8.826730E-001, 6.479584E-002, 1.065166E-001, 1.478395E-001
8.955117E-001, 6.370005E-002, 1.066144E-001, 1.498182E-001
9.085372E-001, 6.253718E-002, 1.066471E-001, 1.516495E-001
9.217522E-001, 6.133683E-002, 1.066123E-001, 1.533178E-001
9.351594E-001, 6.062740E-002, 1.065099E-001, 1.548007E-001
9.487616E-001, 5.986360E-002, 1.063397E-001, 1.560822E-001
9.625617E-001, 5.913533E-002, 1.061020E-001, 1.571466E-001
9.765624E-001, 6.003839E-002, 1.057973E-001, 1.593217E-001
9.907669E-001, 6.103157E-002, 1.054264E-001, 1.631970E-001
1.005178E+000, 6.180510E-002, 1.050602E-001, 1.662039E-001
1.019799E+000, 6.242819E-002, 1.046544E-001, 1.682680E-001
1.034632E+000, 6.291190E-002, 1.046109E-001, 1.692709E-001
1.049681E+000, 6.320152E-002, 1.045790E-001, 1.692330E-001
1.064949E+000, 6.327799E-002, 1.045015E-001, 1.681479E-001
1.080439E+000, 6.315541E-002, 1.043767E-001, 1.658775E-001
1.096154E+000, 6.285416E-002, 1.042055E-001, 1.624245E-001
1.112098E+000, 6.240609E-002, 1.039856E-001, 1.616050E-001
1.128274E+000, 6.183783E-002, 1.037189E-001, 1.684656E-001
1.144685E+000, 6.118450E-002, 1.034077E-001, 1.744536E-001
