ÒSaverXware Event SRS Export File
Generated From: C:\PROGRAM FILES (X86)\LANSMONT\SAVERXWARE\DataStore\EventDatabase.SXe
Event: Signal  3125
Active Channel Code: 7
Freq (Hz), CH1 SRS (G's), CH2 SRS (G's), CH3 SRS (G's)
4.812808E-001, 6.337899E-002, 7.066717E-002, 9.648478E-002
4.882812E-001, 6.288486E-002, 7.122674E-002, 9.791294E-002
4.953834E-001, 6.237958E-002, 7.175241E-002, 9.941448E-002
5.025890E-001, 6.184712E-002, 7.224195E-002, 1.009879E-001
5.098993E-001, 6.128669E-002, 7.269308E-002, 1.026307E-001
5.173159E-001, 6.070057E-002, 7.310348E-002, 1.043422E-001
5.248405E-001, 6.009123E-002, 7.361362E-002, 1.061155E-001
5.324745E-001, 5.946142E-002, 7.411250E-002, 1.079432E-001
5.402195E-001, 5.881410E-002, 7.457221E-002, 1.098171E-001
5.480772E-001, 5.837600E-002, 7.499043E-002, 1.117274E-001
5.560491E-001, 5.799716E-002, 7.536788E-002, 1.136621E-001
5.641370E-001, 5.758852E-002, 7.570115E-002, 1.157197E-001
5.723426E-001, 5.715156E-002, 7.606994E-002, 1.178191E-001
5.806675E-001, 5.671257E-002, 7.666019E-002, 1.199154E-001
5.891135E-001, 5.649967E-002, 7.721701E-002, 1.219897E-001
5.976824E-001, 5.625501E-002, 7.773575E-002, 1.240287E-001
6.063759E-001, 5.597916E-002, 7.822698E-002, 1.260059E-001
6.151958E-001, 5.567285E-002, 7.869524E-002, 1.279192E-001
6.241440E-001, 5.533702E-002, 7.914190E-002, 1.298221E-001
6.332224E-001, 5.497277E-002, 7.954381E-002, 1.325597E-001
6.424329E-001, 5.458141E-002, 7.989860E-002, 1.361223E-001
6.517773E-001, 5.416446E-002, 8.020391E-002, 1.401934E-001
6.612576E-001, 5.372363E-002, 8.045734E-002, 1.443331E-001
6.708758E-001, 5.326087E-002, 8.065959E-002, 1.485385E-001
6.806339E-001, 5.277833E-002, 8.096897E-002, 1.533857E-001
6.905339E-001, 5.227839E-002, 8.140416E-002, 1.586807E-001
7.005780E-001, 5.176366E-002, 8.179303E-002, 1.640833E-001
7.107681E-001, 5.224170E-002, 8.213324E-002, 1.695694E-001
7.211065E-001, 5.299925E-002, 8.250374E-002, 1.751176E-001
7.315952E-001, 5.370541E-002, 8.295213E-002, 1.807064E-001
7.422365E-001, 5.436138E-002, 8.335713E-002, 1.863217E-001
7.530326E-001, 5.497059E-002, 8.374910E-002, 1.920629E-001
7.639857E-001, 5.553876E-002, 8.409188E-002, 1.978910E-001
7.750981E-001, 5.607392E-002, 8.438319E-002, 2.036777E-001
7.863722E-001, 5.658632E-002, 8.462076E-002, 2.095817E-001
7.978103E-001, 5.708833E-002, 8.480237E-002, 2.153999E-001
8.094147E-001, 5.759420E-002, 8.492581E-002, 2.210450E-001
8.211879E-001, 5.811975E-002, 8.498895E-002, 2.268376E-001
8.331323E-001, 5.868200E-002, 8.498973E-002, 2.324436E-001
8.452505E-001, 5.929874E-002, 8.493463E-002, 2.382025E-001
8.575450E-001, 5.998792E-002, 8.483786E-002, 2.437425E-001
8.700182E-001, 6.076711E-002, 8.467949E-002, 2.490380E-001
8.826730E-001, 6.165283E-002, 8.445691E-002, 2.543748E-001
8.955117E-001, 6.265984E-002, 8.416748E-002, 2.592627E-001
9.085372E-001, 6.380044E-002, 8.390526E-002, 2.636799E-001
9.217522E-001, 6.508380E-002, 8.398529E-002, 2.675528E-001
9.351594E-001, 6.651531E-002, 8.406386E-002, 2.708460E-001
9.487616E-001, 6.809596E-002, 8.408527E-002, 2.739272E-001
9.625617E-001, 6.982190E-002, 8.404824E-002, 2.768184E-001
9.765624E-001, 7.168408E-002, 8.397065E-002, 2.793242E-001
9.907669E-001, 7.366811E-002, 8.382703E-002, 2.814309E-001
1.005178E+000, 7.575423E-002, 8.361562E-002, 2.832003E-001
1.019799E+000, 7.791765E-002, 8.333480E-002, 2.844645E-001
1.034632E+000, 8.012893E-002, 8.298311E-002, 2.850814E-001
1.049681E+000, 8.235478E-002, 8.289434E-002, 2.872707E-001
1.064949E+000, 8.455900E-002, 8.280958E-002, 2.931320E-001
1.080439E+000, 8.670371E-002, 8.265878E-002, 3.009869E-001
1.096154E+000, 8.875070E-002, 8.244015E-002, 3.086516E-001
1.112098E+000, 9.066297E-002, 8.215202E-002, 3.160570E-001
1.128274E+000, 9.240636E-002, 8.179389E-002, 3.231492E-001
1.144685E+000, 9.395119E-002, 8.144743E-002, 3.298950E-001
1.161335E+000, 9.527378E-002, 8.132868E-002, 3.363171E-001
1.178227E+000, 9.635789E-002, 8.114511E-002, 3.427517E-001
1.195365E+000, 9.719579E-002, 8.090970E-002, 3.484937E-001
1.212752E+000, 9.778908E-002, 8.060405E-002, 3.546040E-001
1.230392E+000, 9.814896E-002, 8.022653E-002, 3.602964E-001
1.248288E+000, 9.829607E-002, 7.977567E-002, 3.660905E-001
1.266445E+000, 9.825973E-002, 7.925016E-002, 3.711388E-001
1.284866E+000, 9.807665E-002, 7.954199E-002, 3.754999E-001
1.303555E+000, 9.778903E-002, 7.982284E-002, 3.795922E-001
1.322515E+000, 9.744225E-002, 8.005694E-002, 3.832430E-001
1.341752E+000, 9.708218E-002, 8.023635E-002, 3.862979E-001
1.361268E+000, 9.675223E-002, 8.035869E-002, 3.886724E-001
1.381068E+000, 9.649045E-002, 8.042165E-002, 3.906290E-001
1.401156E+000, 9.632672E-002, 8.042294E-002, 3.918179E-001
1.421536E+000, 9.628045E-002, 8.036463E-002, 3.923784E-001
1.442213E+000, 9.635881E-002, 8.024843E-002, 3.925856E-001
1.463190E+000, 9.655591E-002, 8.006443E-002, 3.928864E-001
1.484473E+000, 9.685279E-002, 8.011793E-002, 3.927825E-001
1.506065E+000, 9.723050E-002, 8.042920E-002, 3.922802E-001
1.527971E+000, 9.765538E-002, 8.069831E-002, 3.912689E-001
1.550196E+000, 9.807408E-002, 8.091583E-002, 3.899152E-001
1.572744E+000, 9.885653E-002, 8.107696E-002, 3.886296E-001
1.595621E+000, 9.969774E-002, 8.117927E-002, 3.873581E-001
1.618829E+000, 1.005380E-001, 8.122037E-002, 3.859661E-001
1.642376E+000, 1.013311E-001, 8.120873E-002, 3.845247E-001
1.666265E+000, 1.020668E-001, 8.113449E-002, 3.831430E-001
1.690501E+000, 1.026390E-001, 8.099258E-002, 3.819397E-001
1.715090E+000, 1.031254E-001, 8.079491E-002, 3.810303E-001
1.740036E+000, 1.035296E-001, 8.052581E-002, 3.805364E-001
1.765346E+000, 1.037984E-001, 8.018312E-002, 3.805526E-001
1.791023E+000, 1.039361E-001, 7.976496E-002, 3.811507E-001
1.817074E+000, 1.039368E-001, 7.926960E-002, 3.823991E-001
1.843504E+000, 1.038864E-001, 7.878681E-002, 3.843461E-001
1.870319E+000, 1.040154E-001, 7.886033E-002, 3.870175E-001
1.897523E+000, 1.042015E-001, 7.888640E-002, 3.904150E-001
1.925123E+000, 1.044013E-001, 7.885018E-002, 3.945159E-001
1.953125E+000, 1.045959E-001, 7.874668E-002, 3.992873E-001
1.981534E+000, 1.046068E-001, 7.884382E-002, 4.046909E-001
2.010356E+000, 1.043649E-001, 7.889636E-002, 4.106093E-001
2.039597E+000, 1.038175E-001, 7.907696E-002, 4.169583E-001
2.069264E+000, 1.030277E-001, 7.943948E-002, 4.236500E-001
2.099362E+000, 1.022505E-001, 7.977828E-002, 4.305875E-001
2.129898E+000, 1.027100E-001, 8.006474E-002, 4.377862E-001
2.160878E+000, 1.028236E-001, 8.029615E-002, 4.451009E-001
2.192309E+000, 1.022939E-001, 8.048927E-002, 4.524219E-001
2.224196E+000, 1.019642E-001, 8.063776E-002, 4.597304E-001
2.256548E+000, 1.016148E-001, 8.104834E-002, 4.670533E-001
2.289370E+000, 1.007174E-001, 8.174932E-002, 4.745292E-001
2.322670E+000, 9.947894E-002, 8.241546E-002, 4.822531E-001
2.356454E+000, 9.762826E-002, 8.305964E-002, 4.905297E-001
2.390729E+000, 9.659183E-002, 8.367062E-002, 4.996536E-001
2.425503E+000, 9.687197E-002, 8.424057E-002, 5.097791E-001
2.460783E+000, 9.821342E-002, 8.476692E-002, 5.212194E-001
2.496576E+000, 9.965212E-002, 8.524712E-002, 5.343234E-001
2.532890E+000, 1.006261E-001, 8.567855E-002, 5.494441E-001
2.569731E+000, 1.011128E-001, 8.611315E-002, 5.668972E-001
2.607109E+000, 1.010579E-001, 8.651792E-002, 5.869254E-001
2.645030E+000, 1.005963E-001, 8.686955E-002, 6.097345E-001
