ÒSaverXware Event SRS Export File
Generated From: C:\PROGRAM FILES (X86)\LANSMONT\SAVERXWARE\DataStore\EventDatabase.SXe
Event: Signal  1277
Active Channel Code: 7
Freq (Hz), CH1 SRS (G's), CH2 SRS (G's), CH3 SRS (G's)
4.812808E-001, 4.997917E-002, 1.052557E-001, 9.642715E-002
4.882812E-001, 4.969788E-002, 1.047339E-001, 9.734375E-002
4.953834E-001, 4.940448E-002, 1.043471E-001, 9.822535E-002
5.025890E-001, 4.910066E-002, 1.039274E-001, 9.906922E-002
5.098993E-001, 4.878828E-002, 1.036017E-001, 9.987255E-002
5.173159E-001, 4.846927E-002, 1.031860E-001, 1.006325E-001
5.248405E-001, 4.814568E-002, 1.026768E-001, 1.013573E-001
5.324745E-001, 4.781963E-002, 1.024157E-001, 1.020579E-001
5.402195E-001, 4.749335E-002, 1.020734E-001, 1.027080E-001
5.480772E-001, 4.716912E-002, 1.016397E-001, 1.033043E-001
5.560491E-001, 4.684928E-002, 1.011166E-001, 1.038437E-001
5.641370E-001, 4.653624E-002, 1.004984E-001, 1.043230E-001
5.723426E-001, 4.623240E-002, 9.978414E-002, 1.047389E-001
5.806675E-001, 4.594020E-002, 9.897401E-002, 1.050880E-001
5.891135E-001, 4.566205E-002, 9.883097E-002, 1.053671E-001
5.976824E-001, 4.540036E-002, 9.876768E-002, 1.055727E-001
6.063759E-001, 4.515747E-002, 9.861843E-002, 1.057231E-001
6.151958E-001, 4.493565E-002, 9.838068E-002, 1.061387E-001
6.241440E-001, 4.473709E-002, 9.805208E-002, 1.065397E-001
6.332224E-001, 4.456386E-002, 9.763049E-002, 1.068710E-001
6.424329E-001, 4.441788E-002, 9.711394E-002, 1.071289E-001
6.517773E-001, 4.430092E-002, 9.650074E-002, 1.073098E-001
6.612576E-001, 4.421457E-002, 9.578948E-002, 1.074099E-001
6.708758E-001, 4.416019E-002, 9.499671E-002, 1.074255E-001
6.806339E-001, 4.413891E-002, 9.476966E-002, 1.089699E-001
6.905339E-001, 4.415162E-002, 9.509350E-002, 1.107936E-001
7.005780E-001, 4.419892E-002, 9.535461E-002, 1.126317E-001
7.107681E-001, 4.428114E-002, 9.604272E-002, 1.144810E-001
7.211065E-001, 4.439830E-002, 9.667592E-002, 1.163402E-001
7.315952E-001, 4.455009E-002, 9.726544E-002, 1.182082E-001
7.422365E-001, 4.473590E-002, 9.779966E-002, 1.200836E-001
7.530326E-001, 4.495475E-002, 9.826997E-002, 1.219650E-001
7.639857E-001, 4.520537E-002, 9.867297E-002, 1.238509E-001
7.750981E-001, 4.548614E-002, 9.900527E-002, 1.257398E-001
7.863722E-001, 4.579510E-002, 9.926346E-002, 1.276299E-001
7.978103E-001, 4.613001E-002, 9.981576E-002, 1.295195E-001
8.094147E-001, 4.648828E-002, 1.004600E-001, 1.314067E-001
8.211879E-001, 4.686709E-002, 1.010489E-001, 1.332895E-001
8.331323E-001, 4.726332E-002, 1.015762E-001, 1.351660E-001
8.452505E-001, 4.767364E-002, 1.020364E-001, 1.370338E-001
