ÒSaverXware Event SRS Export File
Generated From: C:\PROGRAM FILES (X86)\LANSMONT\SAVERXWARE\DataStore\EventDatabase.SXe
Event: Signal  734
Active Channel Code: 7
Freq (Hz), CH1 SRS (G's), CH2 SRS (G's), CH3 SRS (G's)
4.812808E-001, 5.083409E-002, 1.005252E-001, 1.278387E-001
4.882812E-001, 5.130142E-002, 1.005736E-001, 1.282016E-001
4.953834E-001, 5.174964E-002, 1.004953E-001, 1.284942E-001
5.025890E-001, 5.216898E-002, 1.002802E-001, 1.287125E-001
5.098993E-001, 5.255754E-002, 1.002148E-001, 1.288525E-001
5.173159E-001, 5.291335E-002, 1.004022E-001, 1.296204E-001
5.248405E-001, 5.323445E-002, 1.005245E-001, 1.312954E-001
5.324745E-001, 5.351885E-002, 1.007285E-001, 1.330277E-001
5.402195E-001, 5.376454E-002, 1.009307E-001, 1.348073E-001
5.480772E-001, 5.415055E-002, 1.010081E-001, 1.365888E-001
5.560491E-001, 5.458523E-002, 1.009591E-001, 1.383709E-001
5.641370E-001, 5.498826E-002, 1.007854E-001, 1.401520E-001
5.723426E-001, 5.537794E-002, 1.005248E-001, 1.419305E-001
5.806675E-001, 5.573845E-002, 1.004397E-001, 1.437046E-001
5.891135E-001, 5.607409E-002, 1.005946E-001, 1.454725E-001
5.976824E-001, 5.637211E-002, 1.007089E-001, 1.472324E-001
6.063759E-001, 5.663046E-002, 1.007366E-001, 1.489821E-001
6.151958E-001, 5.684717E-002, 1.007793E-001, 1.507197E-001
6.241440E-001, 5.704616E-002, 1.007110E-001, 1.524427E-001
6.332224E-001, 5.722232E-002, 1.005140E-001, 1.541489E-001
6.424329E-001, 5.735292E-002, 1.005905E-001, 1.558357E-001
6.517773E-001, 5.743604E-002, 1.005422E-001, 1.575006E-001
6.612576E-001, 5.982140E-002, 1.003633E-001, 1.591408E-001
6.708758E-001, 6.229652E-002, 1.000517E-001, 1.607534E-001
6.806339E-001, 6.454793E-002, 9.961304E-002, 1.623355E-001
6.905339E-001, 6.654450E-002, 9.904904E-002, 1.638839E-001
7.005780E-001, 6.825683E-002, 9.846055E-002, 1.653954E-001
7.107681E-001, 6.965796E-002, 9.821828E-002, 1.668665E-001
7.211065E-001, 7.072397E-002, 9.784570E-002, 1.682936E-001
7.315952E-001, 7.143466E-002, 9.734198E-002, 1.696730E-001
7.422365E-001, 7.177412E-002, 9.670704E-002, 1.710009E-001
7.530326E-001, 7.173139E-002, 9.594157E-002, 1.722734E-001
7.639857E-001, 7.130235E-002, 9.505575E-002, 1.734860E-001
7.750981E-001, 7.050101E-002, 9.429465E-002, 1.746347E-001
7.863722E-001, 6.932271E-002, 9.369034E-002, 1.757149E-001
7.978103E-001, 6.828456E-002, 9.296557E-002, 1.767220E-001
8.094147E-001, 6.705460E-002, 9.211604E-002, 1.776512E-001
8.211879E-001, 6.565733E-002, 9.114449E-002, 1.786926E-001
8.331323E-001, 6.399772E-002, 9.025133E-002, 1.800138E-001
8.452505E-001, 6.202457E-002, 8.947290E-002, 1.812713E-001
8.575450E-001, 6.074444E-002, 8.861301E-002, 1.824604E-001
8.700182E-001, 5.990767E-002, 8.764249E-002, 1.835763E-001
8.826730E-001, 5.980393E-002, 8.656047E-002, 1.846139E-001
8.955117E-001, 5.964388E-002, 8.555321E-002, 1.855681E-001
9.085372E-001, 5.942606E-002, 8.444979E-002, 1.864333E-001
9.217522E-001, 5.914919E-002, 8.352353E-002, 1.872040E-001
9.351594E-001, 5.881209E-002, 8.265163E-002, 1.878745E-001
9.487616E-001, 5.841380E-002, 8.166675E-002, 1.884440E-001
9.625617E-001, 5.799691E-002, 8.057374E-002, 1.890350E-001
9.765624E-001, 5.812239E-002, 7.937856E-002, 1.895141E-001
9.907669E-001, 5.819911E-002, 7.816481E-002, 1.898751E-001
1.005178E+000, 5.822511E-002, 7.688647E-002, 1.901113E-001
1.019799E+000, 5.819849E-002, 7.551864E-002, 1.902160E-001
1.034632E+000, 5.811738E-002, 7.407060E-002, 1.901823E-001
1.049681E+000, 5.850334E-002, 7.255291E-002, 1.900032E-001
1.064949E+000, 5.888304E-002, 7.097740E-002, 1.896713E-001
1.080439E+000, 5.922493E-002, 6.935717E-002, 1.908118E-001
1.096154E+000, 5.952696E-002, 6.771768E-002, 1.919822E-001
1.112098E+000, 5.978708E-002, 6.624349E-002, 1.939532E-001
1.128274E+000, 6.000326E-002, 6.469142E-002, 1.969486E-001
1.144685E+000, 6.017348E-002, 6.307278E-002, 1.999582E-001
1.161335E+000, 6.029575E-002, 6.140026E-002, 2.029797E-001
1.178227E+000, 6.036812E-002, 5.968791E-002, 2.060315E-001
1.195365E+000, 6.040228E-002, 5.871444E-002, 2.091670E-001
1.212752E+000, 6.057366E-002, 5.845581E-002, 2.123137E-001
1.230392E+000, 6.107854E-002, 5.832437E-002, 2.155436E-001
1.248288E+000, 6.171979E-002, 5.909738E-002, 2.188355E-001
1.266445E+000, 6.233564E-002, 6.040581E-002, 2.221394E-001
1.284866E+000, 6.292420E-002, 6.184709E-002, 2.254529E-001
1.303555E+000, 6.348351E-002, 6.339069E-002, 2.288778E-001
1.322515E+000, 6.401163E-002, 6.500176E-002, 2.323476E-001
1.341752E+000, 6.450653E-002, 6.664151E-002, 2.358279E-001
1.361268E+000, 6.496622E-002, 6.826764E-002, 2.393160E-001
1.381068E+000, 6.539188E-002, 6.983489E-002, 2.428089E-001
1.401156E+000, 6.578019E-002, 7.129582E-002, 2.463087E-001
1.421536E+000, 6.612748E-002, 7.260168E-002, 2.498363E-001
1.442213E+000, 6.643172E-002, 7.376111E-002, 2.535840E-001
1.463190E+000, 6.669094E-002, 7.559617E-002, 2.574765E-001
1.484473E+000, 6.690320E-002, 7.729883E-002, 2.613836E-001
1.506065E+000, 6.706662E-002, 7.926611E-002, 2.653023E-001
1.527971E+000, 6.717935E-002, 8.195820E-002, 2.692296E-001
1.550196E+000, 6.723966E-002, 8.437511E-002, 2.731791E-001
1.572744E+000, 6.724589E-002, 8.639720E-002, 2.772166E-001
1.595621E+000, 6.743427E-002, 8.791365E-002, 2.812639E-001
1.618829E+000, 6.799182E-002, 8.882983E-002, 2.853128E-001
1.642376E+000, 6.851436E-002, 8.908112E-002, 2.893595E-001
1.666265E+000, 6.899977E-002, 9.204499E-002, 2.934110E-001
1.690501E+000, 6.944595E-002, 9.560367E-002, 2.974846E-001
1.715090E+000, 6.985077E-002, 9.923372E-002, 3.015458E-001
1.740036E+000, 7.021213E-002, 1.029332E-001, 3.056838E-001
1.765346E+000, 7.052797E-002, 1.066998E-001, 3.099855E-001
1.791023E+000, 7.079624E-002, 1.105309E-001, 3.142788E-001
1.817074E+000, 7.101496E-002, 1.144236E-001, 3.185588E-001
1.843504E+000, 7.118218E-002, 1.183747E-001, 3.228206E-001
1.870319E+000, 7.129607E-002, 1.223806E-001, 3.270591E-001
1.897523E+000, 7.135487E-002, 1.264372E-001, 3.312685E-001
1.925123E+000, 7.135694E-002, 1.305403E-001, 3.354432E-001
1.953125E+000, 7.130078E-002, 1.346851E-001, 3.395770E-001
1.981534E+000, 7.118504E-002, 1.388665E-001, 3.436635E-001
2.010356E+000, 7.100853E-002, 1.430788E-001, 3.476959E-001
2.039597E+000, 7.077029E-002, 1.473162E-001, 3.516672E-001
2.069264E+000, 7.046954E-002, 1.515723E-001, 3.555700E-001
2.099362E+000, 7.300375E-002, 1.558402E-001, 3.593967E-001
2.129898E+000, 7.628141E-002, 1.601128E-001, 3.631391E-001
2.160878E+000, 7.935625E-002, 1.643824E-001, 3.667889E-001
2.192309E+000, 8.204353E-002, 1.686410E-001, 3.703373E-001
2.224196E+000, 8.568589E-002, 1.728800E-001, 3.737753E-001
2.256548E+000, 8.950935E-002, 1.770908E-001, 3.770935E-001
2.289370E+000, 9.293500E-002, 1.812640E-001, 3.802820E-001
2.322670E+000, 9.584767E-002, 1.853900E-001, 3.834099E-001
2.356454E+000, 9.822699E-002, 1.894590E-001, 3.868290E-001
2.390729E+000, 1.001850E-001, 1.934607E-001, 3.901682E-001
2.425503E+000, 1.017331E-001, 1.973847E-001, 3.934207E-001
2.460783E+000, 1.032676E-001, 2.012202E-001, 3.965262E-001
2.496576E+000, 1.049837E-001, 2.049564E-001, 3.994741E-001
2.532890E+000, 1.064922E-001, 2.085823E-001, 4.027083E-001
2.569731E+000, 1.079589E-001, 2.120867E-001, 4.057999E-001
2.607109E+000, 1.095290E-001, 2.154587E-001, 4.087818E-001
2.645030E+000, 1.107735E-001, 2.186870E-001, 4.116568E-001
2.683503E+000, 1.118082E-001, 2.217610E-001, 4.217156E-001
2.722536E+000, 1.135502E-001, 2.246698E-001, 4.338269E-001
2.762136E+000, 1.147840E-001, 2.274032E-001, 4.458027E-001
2.802312E+000, 1.156527E-001, 2.299512E-001, 4.583433E-001
2.843072E+000, 1.168576E-001, 2.323044E-001, 4.720679E-001
2.884426E+000, 1.171732E-001, 2.344539E-001, 4.874893E-001
2.926381E+000, 1.171129E-001, 2.363916E-001, 5.045717E-001
2.968946E+000, 1.192621E-001, 2.381103E-001, 5.290086E-001
3.012130E+000, 1.206364E-001, 2.396038E-001, 5.571858E-001
3.055943E+000, 1.216623E-001, 2.408668E-001, 5.866604E-001
3.100393E+000, 1.222183E-001, 2.418952E-001, 6.154550E-001
3.145489E+000, 1.220814E-001, 2.426865E-001, 6.406547E-001
3.191241E+000, 1.213883E-001, 2.432394E-001, 6.615747E-001
3.237659E+000, 1.201105E-001, 2.435542E-001, 6.789360E-001
3.284751E+000, 1.187778E-001, 2.436329E-001, 6.943110E-001
3.332529E+000, 1.171909E-001, 2.434793E-001, 7.070388E-001
3.381002E+000, 1.151728E-001, 2.430990E-001, 7.194293E-001
3.430180E+000, 1.128915E-001, 2.424996E-001, 7.348037E-001
3.480073E+000, 1.105645E-001, 2.416907E-001, 7.563676E-001
3.530692E+000, 1.083513E-001, 2.406838E-001, 7.856241E-001
3.582047E+000, 1.064326E-001, 2.398094E-001, 8.212802E-001
3.634149E+000, 1.049116E-001, 2.417164E-001, 8.609536E-001
3.687009E+000, 1.037811E-001, 2.540649E-001, 9.013938E-001
3.740638E+000, 1.029190E-001, 2.663258E-001, 9.431272E-001
3.795047E+000, 1.022849E-001, 2.784655E-001, 9.804215E-001
3.850247E+000, 1.015760E-001, 2.904521E-001, 1.014449E+000
3.906250E+000, 1.005946E-001, 3.022563E-001, 1.044652E+000
3.963068E+000, 9.930049E-002, 3.138518E-001, 1.070393E+000
4.020712E+000, 9.851253E-002, 3.252159E-001, 1.096056E+000
4.079194E+000, 1.006453E-001, 3.363299E-001, 1.122985E+000
4.138527E+000, 1.024764E-001, 3.471796E-001, 1.153191E+000
4.198724E+000, 1.039903E-001, 3.578667E-001, 1.189075E+000
4.259796E+000, 1.052092E-001, 3.696341E-001, 1.226333E+000
4.321756E+000, 1.060607E-001, 3.812813E-001, 1.264818E+000
4.384617E+000, 1.065332E-001, 3.927972E-001, 1.300405E+000
4.448393E+000, 1.066222E-001, 4.043197E-001, 1.318053E+000
4.513096E+000, 1.063318E-001, 4.157037E-001, 1.318459E+000
4.578741E+000, 1.056746E-001, 4.269701E-001, 1.293562E+000
4.645340E+000, 1.072491E-001, 4.381451E-001, 1.261395E+000
4.712908E+000, 1.115149E-001, 4.492593E-001, 1.212565E+000
4.781459E+000, 1.156680E-001, 4.603473E-001, 1.145774E+000
4.851007E+000, 1.196657E-001, 4.714464E-001, 1.084555E+000
4.921566E+000, 1.234656E-001, 4.825960E-001, 1.014828E+000
4.993152E+000, 1.270270E-001, 4.985908E-001, 9.779904E-001
5.065779E+000, 1.303118E-001, 5.154391E-001, 9.707515E-001
5.139463E+000, 1.332856E-001, 5.314365E-001, 9.589438E-001
5.214218E+000, 1.359189E-001, 5.465093E-001, 9.413271E-001
5.290061E+000, 1.381883E-001, 5.605730E-001, 9.185542E-001
5.367006E+000, 1.400779E-001, 5.737571E-001, 8.974499E-001
5.445071E+000, 1.415803E-001, 5.864039E-001, 8.777253E-001
5.524271E+000, 1.426979E-001, 5.977620E-001, 8.542120E-001
5.604624E+000, 1.434437E-001, 6.076781E-001, 8.285769E-001
5.686145E+000, 1.438425E-001, 6.175550E-001, 8.010961E-001
5.768852E+000, 1.439314E-001, 6.305122E-001, 7.724117E-001
5.852762E+000, 1.437598E-001, 6.426867E-001, 7.445867E-001
5.937892E+000, 1.433901E-001, 6.533867E-001, 7.309287E-001
6.024261E+000, 1.428968E-001, 6.628959E-001, 7.421210E-001
6.111886E+000, 1.423659E-001, 6.774796E-001, 7.512891E-001
6.200785E+000, 1.418932E-001, 6.920831E-001, 7.594070E-001
6.290977E+000, 1.415832E-001, 7.063341E-001, 7.693917E-001
6.382482E+000, 1.415457E-001, 7.200758E-001, 7.789663E-001
6.475317E+000, 1.418934E-001, 7.332114E-001, 7.872097E-001
6.569503E+000, 1.427380E-001, 7.461876E-001, 7.944578E-001
6.665059E+000, 1.441863E-001, 7.582056E-001, 8.010767E-001
6.762004E+000, 1.463352E-001, 7.691008E-001, 8.074532E-001
6.860360E+000, 1.492672E-001, 7.787216E-001, 8.142605E-001
6.960146E+000, 1.530450E-001, 7.884742E-001, 8.221569E-001
7.061384E+000, 1.577065E-001, 7.976652E-001, 8.315707E-001
7.164094E+000, 1.632593E-001, 8.053296E-001, 8.435221E-001
7.268298E+000, 1.696769E-001, 8.114093E-001, 8.570261E-001
7.374018E+000, 1.768942E-001, 8.158960E-001, 8.724067E-001
7.481275E+000, 1.848050E-001, 8.188397E-001, 8.899313E-001
7.590093E+000, 1.932607E-001, 8.203567E-001, 9.097960E-001
7.700493E+000, 2.020700E-001, 8.206364E-001, 9.321125E-001
7.812500E+000, 2.110017E-001, 8.199469E-001, 9.568955E-001
7.926135E+000, 2.197886E-001, 8.186380E-001, 9.840545E-001
8.041424E+000, 2.281348E-001, 8.171423E-001, 1.013386E+000
8.158388E+000, 2.357244E-001, 8.159734E-001, 1.044570E+000
8.277055E+000, 2.422341E-001, 8.157207E-001, 1.077175E+000
8.397448E+000, 2.473467E-001, 8.170406E-001, 1.111316E+000
8.519591E+000, 2.507676E-001, 8.206442E-001, 1.146686E+000
8.643512E+000, 2.522424E-001, 8.272812E-001, 1.181864E+000
8.769235E+000, 2.515752E-001, 8.377197E-001, 1.216084E+000
8.896786E+000, 2.668396E-001, 8.527227E-001, 1.248544E+000
9.026193E+000, 2.890824E-001, 8.730217E-001, 1.278429E+000
9.157481E+000, 3.123346E-001, 8.992871E-001, 1.304947E+000
9.290680E+000, 3.358441E-001, 9.320980E-001, 1.327367E+000
9.425817E+000, 3.587639E-001, 9.719108E-001, 1.346352E+000
9.562918E+000, 3.802042E-001, 1.019028E+000, 1.362172E+000
9.702014E+000, 3.993742E-001, 1.073573E+000, 1.374777E+000
9.843133E+000, 4.168471E-001, 1.135459E+000, 1.388949E+000
9.986304E+000, 4.307414E-001, 1.204378E+000, 1.414606E+000
1.013156E+001, 4.408582E-001, 1.279784E+000, 1.479997E+000
1.027893E+001, 4.531309E-001, 1.360890E+000, 1.538513E+000
1.042844E+001, 4.613923E-001, 1.446677E+000, 1.623482E+000
1.058012E+001, 4.658757E-001, 1.535906E+000, 1.722835E+000
1.073401E+001, 4.671703E-001, 1.627150E+000, 1.817044E+000
1.089014E+001, 4.662033E-001, 1.718831E+000, 1.905918E+000
1.104854E+001, 4.657550E-001, 1.811408E+000, 1.990355E+000
1.120925E+001, 4.651745E-001, 1.905064E+000, 2.065703E+000
1.137229E+001, 4.659332E-001, 2.015698E+000, 2.169121E+000
1.153770E+001, 4.695182E-001, 2.130326E+000, 2.270063E+000
1.170552E+001, 4.772551E-001, 2.242135E+000, 2.365877E+000
1.187578E+001, 4.901507E-001, 2.350613E+000, 2.459594E+000
1.204852E+001, 5.087502E-001, 2.457934E+000, 2.555904E+000
1.222377E+001, 5.330293E-001, 2.569576E+000, 2.656312E+000
1.240157E+001, 5.623377E-001, 2.679522E+000, 2.758358E+000
1.258195E+001, 5.954084E-001, 2.779731E+000, 2.860786E+000
1.276496E+001, 6.304368E-001, 2.874341E+000, 2.963686E+000
1.295063E+001, 6.654938E-001, 2.967677E+000, 3.066499E+000
1.313901E+001, 7.006953E-001, 3.059919E+000, 3.174518E+000
1.333012E+001, 7.316887E-001, 3.145392E+000, 3.284824E+000
1.352401E+001, 7.584940E-001, 3.220880E+000, 3.390724E+000
1.372072E+001, 7.797850E-001, 3.291293E+000, 3.489216E+000
1.392029E+001, 7.925442E-001, 3.352756E+000, 3.577014E+000
1.412277E+001, 7.983564E-001, 3.425175E+000, 3.650818E+000
1.432819E+001, 7.983741E-001, 3.494239E+000, 3.721219E+000
1.453660E+001, 8.082019E-001, 3.556823E+000, 3.813200E+000
1.474804E+001, 8.148268E-001, 3.613806E+000, 3.908551E+000
1.496255E+001, 8.172604E-001, 3.659744E+000, 3.986974E+000
1.518019E+001, 8.154656E-001, 3.691871E+000, 4.052272E+000
1.540099E+001, 8.110022E-001, 3.714937E+000, 4.112944E+000
1.562500E+001, 8.061576E-001, 3.770377E+000, 4.155164E+000
1.585227E+001, 8.029928E-001, 3.825245E+000, 4.199863E+000
1.608285E+001, 8.095220E-001, 3.875702E+000, 4.269108E+000
1.631678E+001, 8.178635E-001, 3.923919E+000, 4.323558E+000
1.655411E+001, 8.335627E-001, 3.976027E+000, 4.363498E+000
1.679490E+001, 8.521263E-001, 4.014268E+000, 4.388896E+000
1.703918E+001, 8.660568E-001, 4.043575E+000, 4.399308E+000
1.728702E+001, 8.742206E-001, 4.057442E+000, 4.393923E+000
1.753847E+001, 8.757092E-001, 4.065333E+000, 4.381158E+000
1.779357E+001, 8.700246E-001, 4.058110E+000, 4.361503E+000
1.805239E+001, 8.616855E-001, 4.049625E+000, 4.323316E+000
1.831496E+001, 8.476881E-001, 4.017455E+000, 4.266269E+000
1.858136E+001, 8.278249E-001, 3.980383E+000, 4.190846E+000
1.885163E+001, 8.064613E-001, 3.944222E+000, 4.098467E+000
1.912584E+001, 7.796701E-001, 3.895987E+000, 3.991449E+000
1.940403E+001, 7.703447E-001, 3.846207E+000, 3.877660E+000
1.968627E+001, 7.693409E-001, 3.781404E+000, 3.775054E+000
1.997261E+001, 7.651164E-001, 3.708300E+000, 3.663622E+000
2.026312E+001, 7.569832E-001, 3.654853E+000, 3.570475E+000
2.055785E+001, 7.443985E-001, 3.604764E+000, 3.485133E+000
2.085687E+001, 7.586577E-001, 3.539031E+000, 3.398308E+000
2.116024E+001, 7.734011E-001, 3.478458E+000, 3.307460E+000
2.146803E+001, 7.829639E-001, 3.423501E+000, 3.216851E+000
2.178028E+001, 7.903346E-001, 3.357515E+000, 3.130409E+000
2.209709E+001, 7.915422E-001, 3.281895E+000, 3.051467E+000
2.241850E+001, 7.880331E-001, 3.202784E+000, 2.982393E+000
2.274458E+001, 7.862857E-001, 3.129894E+000, 2.924162E+000
2.307541E+001, 7.829268E-001, 3.053230E+000, 2.876039E+000
2.341105E+001, 7.795594E-001, 2.974767E+000, 2.859558E+000
2.375157E+001, 7.774541E-001, 2.896251E+000, 2.860417E+000
2.409704E+001, 7.774392E-001, 2.825186E+000, 2.878264E+000
2.444754E+001, 7.799953E-001, 2.757823E+000, 2.898648E+000
2.480314E+001, 7.854257E-001, 2.693971E+000, 2.918878E+000
2.516391E+001, 7.940097E-001, 2.635642E+000, 2.949719E+000
2.552993E+001, 8.060641E-001, 2.584916E+000, 2.985591E+000
2.590127E+001, 8.218970E-001, 2.543732E+000, 3.025378E+000
2.627801E+001, 8.417046E-001, 2.513618E+000, 3.063887E+000
2.666023E+001, 8.654938E-001, 2.495443E+000, 3.103224E+000
2.704802E+001, 8.930982E-001, 2.489250E+000, 3.144805E+000
2.744144E+001, 9.242819E-001, 2.494233E+000, 3.188503E+000
2.784058E+001, 9.604566E-001, 2.508836E+000, 3.232370E+000
2.824553E+001, 1.003133E+000, 2.530929E+000, 3.272989E+000
2.865638E+001, 1.050124E+000, 2.558006E+000, 3.319718E+000
2.907319E+001, 1.101060E+000, 2.587327E+000, 3.368616E+000
2.949607E+001, 1.154814E+000, 2.615997E+000, 3.405183E+000
2.992510E+001, 1.209272E+000, 2.645709E+000, 3.426372E+000
3.036037E+001, 1.261410E+000, 2.680362E+000, 3.429834E+000
3.080197E+001, 1.312722E+000, 2.707756E+000, 3.413962E+000
3.125000E+001, 1.367594E+000, 2.724402E+000, 3.378102E+000
3.170454E+001, 1.412944E+000, 2.726750E+000, 3.322868E+000
3.216570E+001, 1.446543E+000, 2.711363E+000, 3.255426E+000
3.263355E+001, 1.485093E+000, 2.692432E+000, 3.258387E+000
3.310822E+001, 1.515362E+000, 2.692319E+000, 3.277090E+000
3.358979E+001, 1.551004E+000, 2.708529E+000, 3.290255E+000
3.407837E+001, 1.580093E+000, 2.730867E+000, 3.307055E+000
