ÒSaverXware Event SRS Export File
Generated From: C:\PROGRAM FILES (X86)\LANSMONT\SAVERXWARE\DataStore\EventDatabase.SXe
Event: Timer  47
Active Channel Code: 7
Freq (Hz), CH1 SRS (G's), CH2 SRS (G's), CH3 SRS (G's)
4.812808E-001, 8.632368E-002, 9.126367E-002, 1.162804E-001
4.882812E-001, 8.620420E-002, 9.226712E-002, 1.163392E-001
4.953834E-001, 8.601755E-002, 9.336717E-002, 1.163197E-001
5.025890E-001, 8.576247E-002, 9.443840E-002, 1.162236E-001
5.098993E-001, 8.543790E-002, 9.547806E-002, 1.160530E-001
5.173159E-001, 8.504298E-002, 9.648331E-002, 1.158106E-001
5.248405E-001, 8.464942E-002, 9.745122E-002, 1.154996E-001
5.324745E-001, 8.467369E-002, 9.838511E-002, 1.151236E-001
5.402195E-001, 8.463875E-002, 9.929859E-002, 1.146868E-001
5.480772E-001, 8.454083E-002, 1.001808E-001, 1.141940E-001
5.560491E-001, 8.467202E-002, 1.010155E-001, 1.136504E-001
5.641370E-001, 8.483084E-002, 1.017996E-001, 1.130618E-001
5.723426E-001, 8.493344E-002, 1.025297E-001, 1.124346E-001
5.806675E-001, 8.497835E-002, 1.051901E-001, 1.117754E-001
5.891135E-001, 8.496419E-002, 1.105975E-001, 1.110915E-001
5.976824E-001, 8.488978E-002, 1.159313E-001, 1.103906E-001
6.063759E-001, 8.475407E-002, 1.211371E-001, 1.096806E-001
6.151958E-001, 8.455619E-002, 1.261576E-001, 1.089700E-001
6.241440E-001, 8.429547E-002, 1.309342E-001, 1.082674E-001
6.332224E-001, 8.397148E-002, 1.354247E-001, 1.075816E-001
6.424329E-001, 8.363692E-002, 1.396196E-001, 1.069218E-001
6.517773E-001, 8.326733E-002, 1.434311E-001, 1.062972E-001
6.612576E-001, 8.283458E-002, 1.467843E-001, 1.057169E-001
6.708758E-001, 8.233888E-002, 1.496529E-001, 1.051902E-001
6.806339E-001, 8.178077E-002, 1.519802E-001, 1.047260E-001
6.905339E-001, 8.116108E-002, 1.536860E-001, 1.043332E-001
7.005780E-001, 8.048096E-002, 1.557278E-001, 1.040205E-001
7.107681E-001, 7.978269E-002, 1.578819E-001, 1.037961E-001
7.211065E-001, 7.925469E-002, 1.594259E-001, 1.036679E-001
7.315952E-001, 7.867004E-002, 1.622423E-001, 1.036430E-001
7.422365E-001, 7.802559E-002, 1.644757E-001, 1.037284E-001
