ÒSaverXware Event SRS Export File
Generated From: C:\PROGRAM FILES (X86)\LANSMONT\SAVERXWARE\DataStore\EventDatabase.SXe
Event: Signal  408
Active Channel Code: 7
Freq (Hz), CH1 SRS (G's), CH2 SRS (G's), CH3 SRS (G's)
4.812808E-001, 1.166197E-001, 1.408071E-001, 1.663345E-001
4.882812E-001, 1.166656E-001, 1.414582E-001, 1.669887E-001
4.953834E-001, 1.166519E-001, 1.420093E-001, 1.679056E-001
5.025890E-001, 1.165724E-001, 1.424560E-001, 1.696661E-001
5.098993E-001, 1.164014E-001, 1.427937E-001, 1.713966E-001
5.173159E-001, 1.161368E-001, 1.430183E-001, 1.730945E-001
5.248405E-001, 1.157765E-001, 1.431256E-001, 1.747568E-001
5.324745E-001, 1.153187E-001, 1.433404E-001, 1.763807E-001
5.402195E-001, 1.147694E-001, 1.436346E-001, 1.779632E-001
5.480772E-001, 1.145067E-001, 1.438138E-001, 1.795011E-001
5.560491E-001, 1.141772E-001, 1.438741E-001, 1.809915E-001
5.641370E-001, 1.137553E-001, 1.438114E-001, 1.824310E-001
5.723426E-001, 1.132654E-001, 1.436221E-001, 1.838166E-001
5.806675E-001, 1.130515E-001, 1.433028E-001, 1.851448E-001
5.891135E-001, 1.127444E-001, 1.430768E-001, 1.864126E-001
5.976824E-001, 1.123423E-001, 1.428486E-001, 1.876166E-001
6.063759E-001, 1.119486E-001, 1.424890E-001, 1.887534E-001
6.151958E-001, 1.115039E-001, 1.419948E-001, 1.898198E-001
6.241440E-001, 1.113551E-001, 1.413632E-001, 1.908125E-001
6.332224E-001, 1.111193E-001, 1.405917E-001, 1.917284E-001
6.424329E-001, 1.107905E-001, 1.398700E-001, 1.925641E-001
6.517773E-001, 1.110192E-001, 1.395559E-001, 1.933166E-001
6.612576E-001, 1.113608E-001, 1.420705E-001, 1.939829E-001
6.708758E-001, 1.116280E-001, 1.441514E-001, 1.945601E-001
6.806339E-001, 1.118179E-001, 1.457313E-001, 1.950454E-001
6.905339E-001, 1.119277E-001, 1.467635E-001, 1.954362E-001
7.005780E-001, 1.119545E-001, 1.488254E-001, 1.957301E-001
7.107681E-001, 1.118959E-001, 1.504472E-001, 1.959250E-001
7.211065E-001, 1.117493E-001, 1.523043E-001, 1.961696E-001
7.315952E-001, 1.115125E-001, 1.548562E-001, 1.966630E-001
7.422365E-001, 1.111834E-001, 1.569878E-001, 1.970600E-001
7.530326E-001, 1.107599E-001, 1.585800E-001, 1.973578E-001
7.639857E-001, 1.102422E-001, 1.597144E-001, 1.975540E-001
7.750981E-001, 1.096395E-001, 1.606042E-001, 1.976461E-001
7.863722E-001, 1.089385E-001, 1.631667E-001, 1.976322E-001
7.978103E-001, 1.081381E-001, 1.652219E-001, 1.975104E-001
8.094147E-001, 1.075245E-001, 1.667144E-001, 1.972794E-001
8.211879E-001, 1.074084E-001, 1.676157E-001, 1.969380E-001
8.331323E-001, 1.072032E-001, 1.679199E-001, 1.964857E-001
8.452505E-001, 1.069068E-001, 1.676630E-001, 1.959223E-001
8.575450E-001, 1.065182E-001, 1.668562E-001, 1.952482E-001
8.700182E-001, 1.060413E-001, 1.654593E-001, 1.944641E-001
8.826730E-001, 1.054670E-001, 1.650027E-001, 1.935718E-001
8.955117E-001, 1.051069E-001, 1.642702E-001, 1.925734E-001
9.085372E-001, 1.052961E-001, 1.642780E-001, 1.914718E-001
9.217522E-001, 1.054092E-001, 1.641895E-001, 1.902709E-001
9.351594E-001, 1.054491E-001, 1.635614E-001, 1.889751E-001
9.487616E-001, 1.054053E-001, 1.624932E-001, 1.875901E-001
